galaxy,N_best,alpha,chi2
D631-7,2,0.3,15.42
DDO064,1,0.3,8.66
DDO154,1,0.3,39.1
DDO161,2,0.3,18.88
DDO168,2,0.3,51.31
DDO170,1,0.3,11.47
ESO079-G014,2,0.3,36.04
ESO116-G012,1,0.3,19.65
ESO563-G021,1,0.3,309.48
F568-V1,1,0.3,2.15
F571-8,2,0.3,19.44
F571-V1,1,0.3,1.15
F574-1,1,0.3,11.94
F583-1,1,0.3,23.41
IC2574,2,0.3,28.9
IC4202,1,0.3,116.65
KK98-251,2,0.3,6.23
NGC0024,1,0.3,20.85
NGC0055,2,0.3,33.29
NGC0100,2,0.3,6.73
NGC0247,1,0.25,33.78
NGC0289,1,0.13,48.49
NGC0300,1,0.3,10.96
NGC0801,3,0.3,1.12
NGC0891,2,0.3,43.34
NGC1003,2,0.3,70.91
NGC1090,1,0.3,35.15
NGC2403,2,0.3,329.06
NGC2683,1,0.3,7.12
NGC2841,3,0.3,40.3
NGC2903,1,0.3,136.48
NGC2915,1,0.3,13.2
NGC2976,2,0.3,7.77
NGC2998,2,0.3,6.75
NGC3109,2,0.3,12.93
NGC3198,1,0.3,39.43
NGC3521,1,0.216,14.86
NGC3726,1,0.3,20.84
NGC3741,1,0.3,8.23
NGC3769,1,0.3,7.51
NGC3877,1,0.3,7.43
NGC3893,1,0.3,7.33
NGC3917,1,0.3,22.64
NGC3949,1,0.3,4.41
NGC3953,1,0.3,1.5
NGC3972,1,0.3,8.49
NGC3992,1,0.161,2.8
NGC4010,2,0.3,19.43
NGC4013,2,0.3,26.04
NGC4051,1,0.3,3.83
NGC4088,2,0.3,4.57
NGC4100,1,0.3,16.46
NGC4138,1,0.3,4.41
NGC4157,1,0.3,3.35
NGC4183,1,0.268,3.36
NGC4217,1,0.3,9.43
NGC4559,1,0.3,9.9
NGC5005,1,0.3,3.06
NGC5033,1,0.3,68.47
NGC5055,1,0.3,483.2
NGC5371,3,0.3,17.43
NGC5585,3,0.3,118.28
NGC5907,2,0.3,43.95
NGC5985,2,0.3,63.76
NGC6015,2,0.3,248.55
NGC6195,3,0.3,7.43
NGC6503,1,0.3,51.73
NGC6674,3,0.3,15.81
NGC6946,1,0.3,86.11
NGC7331,2,0.3,11.48
NGC7814,1,0.3,12.1
UGC00128,1,0.194,47.56
UGC00731,1,0.3,1.65
UGC01281,3,0.3,9.83
UGC02259,1,0.16,4.09
UGC02487,1,0.289,64.99
UGC02885,3,0.3,8.91
UGC02916,1,0.3,142.06
UGC02953,3,0.3,501.64
UGC03205,2,0.3,74.19
UGC03546,1,0.3,23.49
UGC03580,1,0.3,99.89
UGC04278,2,0.3,10.47
UGC04325,1,0.3,13.93
UGC04499,1,0.3,5.26
UGC05005,1,0.3,0.94
UGC05253,1,0.3,303.52
UGC05716,1,0.3,11.92
UGC05721,1,0.3,15.06
UGC05986,1,0.3,50.06
UGC06399,1,0.3,3.23
UGC06446,1,0.3,2.75
UGC06614,1,0.3,7.21
UGC06667,1,0.3,5.66
UGC06786,1,0.278,39.14
UGC06787,4,0.3,1312.78
UGC06818,2,0.3,10.17
UGC06917,1,0.3,5.37
UGC06930,1,0.3,1.82
UGC06983,1,0.3,7.95
UGC07125,1,0.3,7.41
UGC07151,1,0.3,20.03
UGC07261,1,0.133,0.11
UGC07399,1,0.3,5.17
UGC07524,1,0.3,14.37
UGC07603,1,0.3,9.97
UGC07690,1,0.3,1.43
UGC08286,1,0.3,27.34
UGC08490,1,0.273,2.75
UGC08550,1,0.3,5.21
UGC08699,1,0.113,16.74
UGC09037,2,0.3,12.91
UGC09133,2,0.3,493.86
UGC10310,1,0.3,2.29
UGC11455,1,0.3,49.67
UGC11914,4,0.3,38.99
UGC12506,1,0.197,4.21
UGC12632,1,0.3,3.12
UGCA442,1,0.3,8.38
UGCA444,1,0.3,5.5
